Country,University,Length of TT (years),Can the Clock be Stopped?,How long can the clock be stopped for?
Canada,University of Ottawa,6,,
Canada,University of Toronto,6,,
Canada,University of Waterloo,6,,
Canada,Dalhousie University,4,,
Canada,McGill University,5,,
Canada,Queen's University,5,,
Canada,York University,5,,
Canada,University of Manitoba,4,,
Canada,University of Saskatchewan,4,,
Canada,University of Alberta,4,,
Canada,University of British Columbia,7,,
United States,Stanford University,7,,
United States,Harvard University,7,,
United States,Columbia University,7,,
United States,Massachusetts Institute of Technology,7,,
United States,University of Notre Dame,7,,
United States,University of California Berkeley,6,,
United States,University of Wisconsin Madison,6,,
United States,University of Michigan,6,,
United States,Yale,7,,
United States,Princeton,7,,
Belgium,KU Leuven,5,,
Finland,Helsinki,8,,
Germany,Freiburg,6,,
Germany,LMU Munich,4.5,,
Germany,Heidelberg,6,,
Italy,Milan,3,,
Italy,University of Bologna,6,,
Italy,University of Padua,3,,
Netherlands,University of Amsterdam,5,,
Netherlands,Leiden,6,,
Netherlands,Utrecht,1.5,,
Netherlands,VU Amsterdam,1.5,,
Netherlands,TU Delft,1.5,,
Sweden,Lund,6,,
Switzerland,Geneve,6,,
Switzerland,University of Zurich,6,,
Switzerland,ETH Zurich,6,,
Denmark,University of Copenhagen,6,,
Denmark,University of Aarhus,6,,
Ireland,Trinity College Dublin,5,Yes,
Ireland,University of Limerick,5,Yes,6 months - 1 year
Austria,University of Vienna,6,,
Portugal,Tecnico Lisboa,5,,
Norway,University of Oslo,6.5,,
Czech Republic,Czech Academy of Sciences,3,,
